County,County Code,Deaths,Population,Crude Rate
"Marion County, IN",18097,281,954670,29.4
"Marshall County, IN",18099,Suppressed,46248,Suppressed
"Martin County, IN",18101,Suppressed,10217,Suppressed
"Miami County, IN",18103,Suppressed,35567,Suppressed
"Monroe County, IN",18105,17,146917,Unreliable
"Montgomery County, IN",18107,Suppressed,38346,Suppressed
"Morgan County, IN",18109,23,70116,32.8
"Newton County, IN",18111,Suppressed,14011,Suppressed
"Noble County, IN",18113,Suppressed,47532,Suppressed
"Ohio County, IN",18115,Suppressed,5844,Suppressed
"Orange County, IN",18117,Suppressed,19489,Suppressed
"Owen County, IN",18119,Suppressed,20845,Suppressed
"Parke County, IN",18121,Suppressed,16927,Suppressed
"Perry County, IN",18123,Suppressed,19102,Suppressed
"Pike County, IN",18125,Suppressed,12410,Suppressed
"Porter County, IN",18127,24,169594,14.2
"Posey County, IN",18129,Suppressed,25540,Suppressed
"Pulaski County, IN",18131,Suppressed,12469,Suppressed
"Putnam County, IN",18133,Suppressed,37779,Suppressed
"Randolph County, IN",18135,Suppressed,24851,Suppressed
"Ripley County, IN",18137,Suppressed,28523,Suppressed
"Rush County, IN",18139,Suppressed,16663,Suppressed
"St. Joseph County, IN",18141,47,270771,17.4
"Scott County, IN",18143,Suppressed,23878,Suppressed
"Shelby County, IN",18145,Suppressed,44593,Suppressed
"Spencer County, IN",18147,Suppressed,20327,Suppressed
"Starke County, IN",18149,Suppressed,22935,Suppressed
"Steuben County, IN",18151,Suppressed,34586,Suppressed
"Sullivan County, IN",18153,Suppressed,20690,Suppressed
"Switzerland County, IN",18155,Suppressed,10717,Suppressed
"Tippecanoe County, IN",18157,37,193048,19.2
"Tipton County, IN",18159,Suppressed,15128,Suppressed
"Union County, IN",18161,Suppressed,7037,Suppressed
"Vanderburgh County, IN",18163,27,180974,14.9
"Vermillion County, IN",18165,Suppressed,15479,Suppressed
"Vigo County, IN",18167,Suppressed,107386,Suppressed
"Wabash County, IN",18169,Suppressed,31280,Suppressed
"Warren County, IN",18171,Suppressed,8263,Suppressed
"Warrick County, IN",18173,Suppressed,62567,Suppressed
"Washington County, IN",18175,Suppressed,27943,Suppressed
"Wayne County, IN",18177,36,65936,54.6
"Wells County, IN",18179,Suppressed,28206,Suppressed
"White County, IN",18181,Suppressed,24133,Suppressed
"Whitley County, IN",18183,Suppressed,34074,Suppressed
"Adair County, IA",19001,Suppressed,7063,Suppressed
"Adams County, IA",19003,Suppressed,3645,Suppressed
"Allamakee County, IA",19005,Suppressed,13832,Suppressed
"Appanoose County, IA",19007,Suppressed,12437,Suppressed
"Audubon County, IA",19009,Suppressed,5506,Suppressed
"Benton County, IA",19011,Suppressed,25642,Suppressed
"Black Hawk County, IA",19013,Suppressed,132408,Suppressed
"Boone County, IA",19015,Suppressed,26346,Suppressed
"Bremer County, IA",19017,Suppressed,24947,Suppressed
"Buchanan County, IA",19019,Suppressed,21199,Suppressed
"Buena Vista County, IA",19021,Suppressed,19874,Suppressed
"Butler County, IA",19023,Suppressed,14539,Suppressed
"Calhoun County, IA",19025,Suppressed,9699,Suppressed
"Carroll County, IA",19027,Suppressed,20154,Suppressed
"Cass County, IA",19029,Suppressed,12930,Suppressed
"Cedar County, IA",19031,Suppressed,18627,Suppressed
"Cerro Gordo County, IA",19033,Suppressed,42647,Suppressed
"Cherokee County, IA",19035,Suppressed,11321,Suppressed
"Chickasaw County, IA",19037,Suppressed,11964,Suppressed
"Clarke County, IA",19039,Suppressed,9423,Suppressed
"Clay County, IA",19041,Suppressed,16134,Suppressed
"Clayton County, IA",19043,Suppressed,17556,Suppressed
"Clinton County, IA",19045,Suppressed,46518,Suppressed
"Crawford County, IA",19047,Suppressed,17158,Suppressed
"Dallas County, IA",19049,Suppressed,90180,Suppressed
"Davis County, IA",19051,Suppressed,9017,Suppressed
"Decatur County, IA",19053,Suppressed,7890,Suppressed
"Delaware County, IA",19055,Suppressed,17069,Suppressed
"Des Moines County, IA",19057,Suppressed,39138,Suppressed
"Dickinson County, IA",19059,Suppressed,17153,Suppressed
"Dubuque County, IA",19061,Suppressed,96854,Suppressed
"Emmet County, IA",19063,Suppressed,9253,Suppressed
"Fayette County, IA",19065,Suppressed,19660,Suppressed
"Floyd County, IA",19067,Suppressed,15761,Suppressed
"Franklin County, IA",19069,Suppressed,10124,Suppressed
"Fremont County, IA",19071,Suppressed,6993,Suppressed
"Greene County, IA",19073,Suppressed,8981,Suppressed
"Grundy County, IA",19075,Suppressed,12304,Suppressed
"Guthrie County, IA",19077,Suppressed,10720,Suppressed
"Hamilton County, IA",19079,Suppressed,14952,Suppressed
"Hancock County, IA",19081,Suppressed,10712,Suppressed
"Hardin County, IA",19083,Suppressed,16868,Suppressed
"Harrison County, IA",19085,Suppressed,14134,Suppressed
"Henry County, IA",19087,Suppressed,20067,Suppressed
"Howard County, IA",19089,Suppressed,9187,Suppressed
"Humboldt County, IA",19091,Suppressed,9547,Suppressed
"Ida County, IA",19093,Suppressed,6841,Suppressed
"Iowa County, IA",19095,Suppressed,16141,Suppressed
"Jackson County, IA",19097,Suppressed,19432,Suppressed
"Jasper County, IA",19099,Suppressed,37147,Suppressed
"Jefferson County, IA",19101,Suppressed,18381,Suppressed
"Johnson County, IA",19103,Suppressed,151260,Suppressed
"Jones County, IA",19105,Suppressed,20744,Suppressed
"Keokuk County, IA",19107,Suppressed,10225,Suppressed
"Kossuth County, IA",19109,Suppressed,14908,Suppressed
"Lee County, IA",19111,Suppressed,34055,Suppressed
"Linn County, IA",19113,12,225909,Unreliable
"Louisa County, IA",19115,Suppressed,11169,Suppressed
"Lucas County, IA",19117,Suppressed,8645,Suppressed
"Lyon County, IA",19119,Suppressed,11811,Suppressed
"Madison County, IA",19121,Suppressed,16249,Suppressed
"Mahaska County, IA",19123,Suppressed,22000,Suppressed
"Marion County, IA",19125,Suppressed,33407,Suppressed
"Marshall County, IA",19127,Suppressed,39981,Suppressed
"Mills County, IA",19129,Suppressed,15063,Suppressed
"Mitchell County, IA",19131,Suppressed,10569,Suppressed
"Monona County, IA",19133,Suppressed,8679,Suppressed
"Monroe County, IA",19135,Suppressed,7790,Suppressed
"Montgomery County, IA",19137,Suppressed,10003,Suppressed
"Muscatine County, IA",19139,Suppressed,42929,Suppressed
"O'Brien County, IA",19141,Suppressed,13840,Suppressed
"Osceola County, IA",19143,Suppressed,6040,Suppressed
"Page County, IA",19145,Suppressed,15249,Suppressed
"Palo Alto County, IA",19147,Suppressed,8929,Suppressed
"Plymouth County, IA",19149,Suppressed,25095,Suppressed
"Pocahontas County, IA",19151,Suppressed,6740,Suppressed
"Polk County, IA",19153,48,487204,9.9
"Pottawattamie County, IA",19155,Suppressed,93533,Suppressed
"Poweshiek County, IA",19157,Suppressed,18699,Suppressed
"Ringgold County, IA",19159,Suppressed,4968,Suppressed
"Sac County, IA",19161,Suppressed,9719,Suppressed
